GmtTime,Open,High,Low,Close,Volume
2023-06-06 05:15:00+00:00,1961.55,1962.57,1960.1,1960.1,38
2023-06-06 05:30:00+00:00,1960.36,1960.36,1959.08,1959.55,39
2023-06-06 05:45:00+00:00,1959.45,1959.46,1957.95,1957.95,38
2023-06-06 06:00:00+00:00,1958.42,1960.38,1958.06,1959.36,39
2023-06-06 06:15:00+00:00,1958.99,1961.17,1958.99,1960.41,39
2023-06-06 06:30:00+00:00,1960.16,1960.75,1959.78,1959.96,39
2023-06-06 06:45:00+00:00,1959.68,1960.11,1958.98,1959.43,39
2023-06-06 07:00:00+00:00,1958.1,1960.8,1958.1,1960.29,39
2023-06-06 07:15:00+00:00,1959.88,1960.29,1957.26,1957.27,41
2023-06-06 07:30:00+00:00,1957.76,1958.5,1957.17,1957.73,39
2023-06-06 07:45:00+00:00,1957.88,1958.9,1956.97,1957.51,39
2023-06-06 08:00:00+00:00,1958.09,1960.2,1957.14,1959.45,41
2023-06-06 08:15:00+00:00,1959.05,1959.46,1957.31,1958.03,41
2023-06-06 08:30:00+00:00,1958.02,1959.01,1957.3,1958.93,40
2023-06-06 08:45:00+00:00,1958.63,1961.06,1958.28,1960.17,38
2023-06-06 09:00:00+00:00,1960.41,1961.77,1960.17,1961.56,39
2023-06-06 09:15:00+00:00,1961.64,1961.98,1961.17,1961.41,39
2023-06-06 09:30:00+00:00,1961.78,1963.38,1960.6,1961.74,40
2023-06-06 09:45:00+00:00,1962.04,1963.0,1961.7,1962.33,40
2023-06-06 10:00:00+00:00,1962.38,1963.18,1961.6,1963.18,41
2023-06-06 10:15:00+00:00,1963.06,1963.06,1962.06,1962.14,38
2023-06-06 10:30:00+00:00,1962.77,1964.83,1962.77,1964.22,39
2023-06-06 10:45:00+00:00,1964.1,1964.56,1963.25,1963.55,38
2023-06-06 11:00:00+00:00,1963.5,1964.4,1963.49,1963.67,39
2023-06-06 11:15:00+00:00,1963.47,1964.06,1962.5,1963.23,40
2023-06-06 11:30:00+00:00,1963.41,1964.66,1963.19,1964.66,39
2023-06-06 11:45:00+00:00,1964.67,1964.68,1962.8,1962.8,39
2023-06-06 12:00:00+00:00,1962.73,1964.66,1962.73,1964.56,39
2023-06-06 12:15:00+00:00,1964.29,1966.15,1963.72,1963.72,39
2023-06-06 12:30:00+00:00,1963.4,1964.35,1960.12,1960.46,39
2023-06-06 12:45:00+00:00,1960.41,1963.15,1959.87,1962.13,37
2023-06-06 13:00:00+00:00,1961.52,1964.02,1960.99,1963.93,40
2023-06-06 13:15:00+00:00,1963.97,1964.13,1962.46,1963.24,39
2023-06-06 13:30:00+00:00,1963.21,1964.61,1958.14,1959.67,40
2023-06-06 13:45:00+00:00,1958.96,1959.06,1954.43,1956.82,39
2023-06-06 14:00:00+00:00,1956.97,1960.45,1956.74,1959.63,38
2023-06-06 14:15:00+00:00,1959.59,1962.27,1959.16,1960.13,39
2023-06-06 14:30:00+00:00,1959.97,1960.43,1957.25,1957.25,39
2023-06-06 14:45:00+00:00,1957.34,1959.71,1957.01,1959.71,38
2023-06-06 15:00:00+00:00,1959.85,1960.48,1958.4,1959.28,40
2023-06-06 15:15:00+00:00,1959.12,1960.92,1958.3,1960.22,41
2023-06-06 15:30:00+00:00,1960.3,1963.07,1960.06,1963.07,39
2023-06-06 15:45:00+00:00,1963.45,1964.19,1962.56,1963.32,39
2023-06-06 16:00:00+00:00,1963.49,1966.2,1963.32,1963.75,41
2023-06-06 16:15:00+00:00,1963.44,1963.75,1961.22,1961.38,40
2023-06-06 16:30:00+00:00,1961.38,1962.4,1961.03,1962.4,39
2023-06-06 16:45:00+00:00,1962.37,1963.71,1962.3,1963.61,39
2023-06-06 17:00:00+00:00,1963.54,1964.13,1962.2,1964.02,42
2023-06-06 17:15:00+00:00,1964.0,1965.24,1963.8,1965.24,39
2023-06-06 17:30:00+00:00,1964.96,1965.94,1964.62,1964.66,39
